,Team,Group,Group Stage Score,PowerScore,Advanced,Rankings,Standing,WikiStanding,Ranking Differential,Points in Group Round,Games Played,Goals,Assists,Shots on Goal,Shots,Header Goals,Kicked Goals,Yellow Cards,Red Cards,Fouls,Offsides,Goals Against,Average Goals Against,Goal Differential,Average Goal Differential,Goals per Game,Assists per Game,Shots on Goal per Game,Shots per Game,Header Goals per Game,Kicked Goals per Game,Yellow Cards per Game,Red Cards per Game,Fouls per Game,Offsides per Game,Miles per Game,Value of players (in million euros),Possession Percentage,Pass Percentage,Tackles per Game,Interceptions per Game,Cross per Game,Through Ball per Game,Long Balls per Game,Short Passes per Game,CODE,color
0,Germany,G,7,22,Y,2,1,1,1,7,7,18,13,71,98,2,16,6,0,91,17,4,0.57,14,2,2.57,1.86,10.14,14,0.29,2.29,0.86,0,13,2.43,75.12,562,57.7,86.1,20.6,8.4,17,3,61,577,DEU,b
1,Argentina,F,9,21,Y,5,2,2,3,9,7,8,3,63,105,0,7,8,0,80,8,4,0.57,4,0.57,1.14,0.43,9,15,0,1,1.14,0,11.43,1.14,72.9,391.5,53.4,84.2,21.6,15.9,24,3,60,453,ARG,b
2,Netherlands,B,9,20,Y,15,3,3,12,9,7,15,10,64,90,2,13,11,0,127,27,4,0.57,11,1.57,2.14,1.43,9.14,12.86,0.29,1.86,1.57,0,18.14,3.86,75.34,207.5,49.9,82.2,19.4,15.3,17,2,80,388,NLD,b
3,Brazil,A,7,16,Y,3,4,4,-1,7,7,11,9,72,111,1,8,14,0,123,15,14,2,-3,-0.43,1.57,1.29,10.29,15.86,0.14,1.14,2,0,17.57,2.14,66.36,467.5,52.7,82.3,21.4,14.9,22,3,61,360,BRA,b
4,Belgium,H,9,12,Y,11,5,6,5,9,5,6,4,58,91,1,5,7,1,86,22,3,0.6,3,0.6,1.2,0.8,11.6,18.2,0.2,1,1.4,0.2,17.2,4.4,71.7,348,51.3,82.1,20.2,13,25,2,62,376,BEL,b
5,Colombia,C,9,12,Y,8,5,5,3,9,5,12,10,38,57,1,11,5,0,91,10,4,0.8,8,1.6,2.4,2,7.6,11.4,0.2,2.2,1,0,18.2,2,64.2,190.2,47.4,77.9,18.8,10.4,14,1,48,290,COL,b
6,Costa Rica,D,7,10,Y,24,5,8,16,7,5,5,5,18,38,2,3,12,1,95,10,2,0.4,3,0.6,1,1,3.6,7.6,0.4,0.6,2.4,0.2,19,2,74.14,29.63,41.8,75.3,20.6,13.4,12,1,65,301,CRI,b
7,France,E,7,10,Y,16,5,7,9,7,5,10,5,57,90,2,6,5,0,62,10,3,0.6,7,1.4,2,1,11.4,18,0.4,1.2,1,0,12.4,2,65.6,411.75,55.2,84.6,16,9.4,27,2,48,425,FRA,b
8,Mexico,A,7,7,Y,19,9,10,9,7,4,5,3,22,46,2,3,8,0,53,7,3,0.75,2,0.5,1.25,0.75,5.5,11.5,0.5,0.75,2,0,13.25,1.75,66.06,96.55,49.3,79.9,14.8,10.5,18,1,53,342,MEX,b
9,Chile,B,6,6,Y,14,9,9,5,3,4,6,4,19,38,0,6,7,0,61,8,4,1,2,0.5,1.5,1,4.75,9.5,0,1.5,1.75,0,15.25,2,74.75,139.3,53.1,79.9,17.8,13.8,16,1,88,417,CHL,b
10,Switzerland,E,6,6,Y,6,9,11,-5,6,4,7,6,40,65,1,6,3,0,67,5,7,1.75,0,0,1.75,1.5,10,16.25,0.25,1.5,0.75,0,16.75,1.25,73.46,178,49.3,81.3,21.8,12.5,17,2,49,375,CHE,b
